check	passed	detail
raw_arithmetic_means	True	All 2502 x 320 saved values equal recomputed float64 means
npy_tsv_identical	True	
all_pairwise_scipy_validation	True	Max absolute difference 1.78e-15
all_neighbors_independent_cosine	True	SciPy cdist, self excluded, stable ties
neighbor_distances	True	
any_saccharide_precision_5	True	
any_saccharide_precision_10	True	
any_saccharide_precision_20	True	
pure_saccharide_precision_5	True	
pure_saccharide_precision_10	True	
pure_saccharide_precision_20	True	
pca_reconstruction	True	
umap_consensus_rows	True	
hdbscan_consensus_rows	True	
hdbscan_sensitivity_rows	True	
input_unchanged:mibig_12510_embeddings.npy	True	
input_unchanged:mibig_12510_metadata.tsv	True	
input_unchanged:mibig_12510_probabilities.npy	True	
input_unchanged:BGC_train_dataset_classify.csv	True	
input_unchanged:BGC_train_dataset_classify.csv	True	
figure_pairs	True	
