representation	definition	k	superseded_zero_precision	consensus_precision
A	any_saccharide	5	0.66974358974358972	0.76923076923076927
B	any_saccharide	5	0.53025641025641024	0.70666666666666678
A	any_saccharide	10	0.66461538461538472	0.76615384615384607
B	any_saccharide	10	0.50512820512820511	0.69025641025641027
A	any_saccharide	20	0.65820512820512833	0.74948717948717947
B	any_saccharide	20	0.4943589743589743	0.67615384615384611
A	any_saccharide	50	0.63805128205128214	0.72246153846153849
B	any_saccharide	50	0.4592820512820513	0.6308717948717949
A	pure_saccharide	5	0.80461538461538462	0.92923076923076919
B	pure_saccharide	5	0.58615384615384614	0.82307692307692304
A	pure_saccharide	10	0.80538461538461525	0.93000000000000005
B	pure_saccharide	10	0.56461538461538463	0.81153846153846154
A	pure_saccharide	20	0.81230769230769229	0.92576923076923068
B	pure_saccharide	20	0.54961538461538451	0.79269230769230759
A	pure_saccharide	50	0.80953846153846165	0.92507692307692324
B	pure_saccharide	50	0.50276923076923075	0.74476923076923074
